folder,folder_digitized,pdf_id,num_interviews,interview_num,header,subheader,location,interviewer,title
1,yes,1004,1,1,"Barnard, George S. (interviewer): A Negro Cook's Day","Rosa Lee Johnson, circa 1908, Waycross, Ga., black cook, Ozark, no date given","#03709, Subseries: ""1.1. Alabama."" Folder 1","Barnard, George S. (interviewer)",A Negro Cook's Day
2,yes,1002,1,1,"Bowman, Annie L. (interviewer): The Hines","Mary Hines, no date given, Monroe County, black teacher, Atmore, 2 January 1939","#03709, Subseries: ""1.1. Alabama."" Folder 2","Bowman, Annie L. (interviewer)",The Hines
3,yes,995,1,1,"Bowman, Annie L. (interviewer): Another version of the above interview",,"#03709, Subseries: ""1.1. Alabama."" Folder 3","Bowman, Annie L. (interviewer)",Another version of the above interview
4,yes,982,1,1,"Cain, Maude (interviewer): Julia Rhodes","Julia Rhodes, circa 1904, Tallapoosa County, white mill worker, Alexander City, 11 October 1938","#03709, Subseries: ""1.1. Alabama."" Folder 4","Cain, Maude (interviewer)",Julia Rhodes
5,yes,927,1,1,"Cain, Maude (interviewer): Bertie Turner","Bertie Turner, no date given, no place given, white boarding-house operator, Alexander City, 30 December 1938","#03709, Subseries: ""1.1. Alabama."" Folder 5","Cain, Maude (interviewer)",Bertie Turner
6,yes,949,1,1,"Clark, Luther (interviewer): Looking Around with a Hay Farmer","Leonidas Cockrell, circa 1867, no place given, white farm owner, McCainville, 14 September 1938","#03709, Subseries: ""1.1. Alabama."" Folder 6","Clark, Luther (interviewer)",Looking Around with a Hay Farmer
7,yes,965,1,1,"Coleman, Victoria (interviewer): Soil Pipe Worker","William Smith, circa 1870, Ohio, white soil pipe worker, Anniston, 31 January 1939","#03709, Subseries: ""1.1. Alabama."" Folder 7","Coleman, Victoria (interviewer)",Soil Pipe Worker
8,yes,911,1,1,"Couric, Gertha (interviewer): Sam Lynn, Fisherman and River Rat [Famous for Fish]","Sam Lynn, circa 1879, no place given, black fisherman, Eufaula, 11 January 1939","#03709, Subseries: ""1.1. Alabama."" Folder 8","Couric, Gertha (interviewer)","Sam Lynn, Fisherman and River Rat [Famous for Fish]"
9,yes,921,1,1,"Couric, Gertha (interviewer): Mid-Wives are Called ""Grannies""","Aunt Granny [Lula] Rousseau, 1861, Eufaula, black midwife, Eufaula, 15 December 1938","#03709, Subseries: ""1.1. Alabama."" Folder 9","Couric, Gertha (interviewer)","Mid-Wives are Called ""Grannies"""
10,yes,1000,1,1,"Couric, Gertha (interviewer): Three Workers of Cowikee Cotton Mill","Mrs. Lee Snipes, no date given, no place given, white textile weaver; T. Clements, no date given, no place given, white textile fireman; Mrs. Champion, no date given, no place given, white textile weaver, Eufaula, 13 October 1938","#03709, Subseries: ""1.1. Alabama."" Folder 10","Couric, Gertha (interviewer)",Three Workers of Cowikee Cotton Mill
11,yes,988,1,1,"Couric, Gertha (interviewer): The Hughes Family","James C. [Doc] Hughes, no date given, no place given, white mill worker, Eufaula, 20 October 1938","#03709, Subseries: ""1.1. Alabama."" Folder 11","Couric, Gertha (interviewer)",The Hughes Family
12,yes,1016,1,1,"Couric, Gertha (interviewer): The Sam Andersons-Cotton Mill Workers","Sam Anderson, no date given, no place given, white mill worker, Eufaula, 20 October 1938","#03709, Subseries: ""1.1. Alabama."" Folder 12","Couric, Gertha (interviewer)",The Sam Andersons-Cotton Mill Workers
13,yes,964,1,1,"Couric, Gertha (interviewer): Mill Workers","Nancy Nolan, no date given, no place given, white mill worker, Barbour County, 20 October 1938","#03709, Subseries: ""1.1. Alabama."" Folder 13","Couric, Gertha (interviewer)",Mill Workers
14,yes,996,1,1,"Couric, Gertha and Hand, Woodrow (interviewers): ""Ed West-Installment Collector""","Ed West, no date given, no place given, white installment collector, Eufaula, 14 February 1939","#03709, Subseries: ""1.1. Alabama."" Folder 14","Couric, Gertha and Hand, Woodrow (interviewers)","""Ed West-Installment Collector"""
15,yes,962,1,1,"Couric, Gertha (interviewer): My Time is Mighty Nigh Out","Mrs. Lucy Thomas, 1859?, no place given, black washwoman, 14 February 1939","#03709, Subseries: ""1.1. Alabama."" Folder 15","Couric, Gertha (interviewer)",My Time is Mighty Nigh Out
16,yes,951,1,1,"Couric, Gertha (interviewer): A Day on the Farm","Mrs. Ola Titus, circa 1867, no place given, white farmer, Barbour County, 20 January 1939; Mrs. Annie Blair, circa 1869, no place given, white farmer, Barbour County, 20 January 1939","#03709, Subseries: ""1.1. Alabama."" Folder 16","Couric, Gertha (interviewer)",A Day on the Farm
17,yes,916,1,1,"Couric, Gertha (interviewer): Another version of the above interview",,"#03709, Subseries: ""1.1. Alabama."" Folder 17","Couric, Gertha (interviewer)",Another version of the above interview
18,yes,929,1,1,"Couric, Gertha (interviewer): Fifty-Two Years in the Cotton Mill","Tom Asobrook, circa 1867, no place given, white mill worker, Eufaula, 13 October 1938","#03709, Subseries: ""1.1. Alabama."" Folder 18","Couric, Gertha (interviewer)",Fifty-Two Years in the Cotton Mill
19,yes,883,1,1,"Diard, Francois L. (interviewer): Sharon Cousins, Knight of the Road","Sharon Cousins, 1914, Ellenburg, WS, white hobo, Mobile, 3 February 1939","#03709, Subseries: ""1.1. Alabama."" Folder 19","Diard, Francois L. (interviewer)","Sharon Cousins, Knight of the Road"
20,yes,863,1,1,"Dobson, Noma (interviewer): Veteran Newspaper Man","Charles H. Geer, 1860, Troupe County, Ga., newspaperman, Sylacauga, 19 December 1938","#03709, Subseries: ""1.1. Alabama."" Folder 20","Dobson, Noma (interviewer)",Veteran Newspaper Man
21,yes,865,1,1,"Donigan, Charles M. (interviewer): C. F. Gerber, Farmer","C. F. Gerber, Barton County, KA, white farmer, Sheffield, 16 January 1939","#03709, Subseries: ""1.1. Alabama."" Folder 21","Donigan, Charles M. (interviewer)","C. F. Gerber, Farmer"
22,yes,947,1,1,"Evans, Lawrence (interviewer): Story of a Minister's Family and Life","Dr. W. H. Evans, circa 1873, MS, white Baptist pastor, Fairhope, 18 January 1939","#03709, Subseries: ""1.1. Alabama."" Folder 22","Evans, Lawrence (interviewer)",Story of a Minister's Family and Life
